state,year,population
MO,2017,5074060
MS,2017,2426060
MT,2017,867560
NC,2017,8289440
ND,2017,599320
NE,2017,1504000
NH,2017,1181920
NJ,2017,7584360
NM,2017,1668820
NV,2017,2423040
NY,2017,15685260
OH,2017,9981320
OK,2017,3179540
OR,2017,3473820
PA,2017,10973260
PR,2017,2606200
RI,2017,892760
SC,2017,4188580
SD,2017,684560
TN,2017,5583100
TX,2017,21449840
UT,2017,2259040
VA,2017,7061280
VT,2017,536380
WA,2017,6157000
WI,2017,4783500
WV,2017,1580620
WY,2017,464120
AK,2018,549040
AL,2018,4147580
AR,2018,2398980
AZ,2018,5475560
CA,2018,31328140
CO,2018,4489020
CT,2018,3046340
DC,2018,553340
DE,2018,813000
FL,2018,18291380
GA,2018,8458360
HI,2018,1110100
IA,2018,2583860
ID,2018,1379120
IL,2018,10503020
IN,2018,5491840
KS,2018,2323760
KY,2018,3681600
LA,2018,3814500
MA,2018,5722580
MD,2018,5087280
ME,2018,1195320
MI,2018,8468160
MN,2018,4553740
MO,2018,5086360
MS,2018,2418420
MT,2018,874960
NC,2018,8390520
ND,2018,603720
NE,2018,1515560
NH,2018,1191840
NJ,2018,7612660
NM,2018,1668880
NV,2018,2453800
NY,2018,15762320
OH,2018,9991840
OK,2018,3191740
OR,2018,3502580
PA,2018,10986240
PR,2018,NA
RI,2018,892680
SC,2018,4232900
SD,2018,690560
TN,2018,5641320
TX,2018,21773300
UT,2018,2302840
VA,2018,7095340
VT,2018,538160
WA,2018,6210740
WI,2018,4809460
WV,2018,1569360
WY,2018,464940
