state,year,per_capita_student_debt
MN,2018,6280
MO,2018,5270
MS,2018,5870
MT,2018,4670
NC,2018,5240
ND,2018,5510
NE,2018,5080
NH,2018,5860
NJ,2018,6090
NM,2018,4070
NV,2018,4170
NY,2018,6090
OH,2018,6220
OK,2018,4540
OR,2018,5760
PA,2018,6210
PR,2018,NA
RI,2018,5390
SC,2018,5870
SD,2018,5170
TN,2018,5050
TX,2018,4970
UT,2018,4350
VA,2018,5820
VT,2018,5480
WA,2018,4270
WI,2018,4850
WV,2018,4020
WY,2018,3610
